nhsd_service_id,organization,address,city,state,postcode,latitude,longitude,service_category
17518247-335f-8890-f050-dde2a845ddd7,Mamu Community Controlled Health Service,39 41 Grigg Street,RAVENSHOE,QLD,4888,-17.60594940185547,145.48178100585938,aboriginal_health
65bf3398-8f2b-8b3a-edb8-30cc88dfe345,Kooringal Medical Centre,295 Lake Albert Road,WAGGA WAGGA,NSW,2650,-35.12087631225586,147.3781280517578,aboriginal_health
1b6dacf4-ea51-6292-9815-9e26e51005de,Port Lincoln Aboriginal Health Service,19A Oxford Terrace,PORT LINCOLN,SA,5606,-34.72657012939453,135.852783203125,aboriginal_health
b318e417-1a95-42dd-b18d-4776853ded53,Wiyiliin Ta - Aboriginal Child and Youth Counselling Services,"James Fletcher Hospital Tara Lodge,72 WATT STREET",NEWCASTLE,NSW,2300,-32.9313014,151.7818644,aboriginal_health
b1c17efd-ca21-f013-a56d-f16a11a768c2,Oakey Hospital - Aboriginal And Torres Strait Islander Community Health,110 Campbell Street,OAKEY,QLD,4401,-27.432186126708984,151.7212371826172,aboriginal_health
51cc8bf8-6f18-dd4d-0b0c-9834099fa62a,Wellington Aboriginal Corporation Health Service,28 Maxwell Street,WELLINGTON,NSW,2820,-32.557762,148.945193,aboriginal_health
20d74be9-bcc3-931f-cf96-c440f7a49a8a,Townsville Aboriginal and Islander Health Services - Medical Clinic,57-59 Gorden Street,GARBUTT,QLD,4814,-19.263952255249023,146.77584838867188,aboriginal_health
a782af0f-976c-638a-33bb-4243c27d6aa3,Pangula Mannamurna Aboriginal Corporation,"Gordon Education Centre,191 Commercial Street W",MOUNT GAMBIER,SA,5290,-37.824832916259766,140.76808166503906,aboriginal_health
e0e3926d-73ea-79c2-a614-abae38751fdd,Bundalung Hacc Aboriginal Home Care Service Taree,16 Albert Street,TAREE,NSW,2430,-31.911155700683594,152.46121215820312,aboriginal_health
b937af90-0d71-095a-be67-8bdb3ed7eef9,Ngunytju Tjitji Pirni Aboriginal Corporation,459 Hannan Street,KALGOORLIE,WA,6430,-30.752748489379883,121.46736907958984,aboriginal_health
da0d29a6-299b-4489-2ef2-b353657d27c6,Aboriginal and Torres Strait Islander Community Health Service - Woolloongabba,55 Annerley Road,WOOLLOONGABBA,QLD,4102,-27.488040924072266,153.02813720703125,aboriginal_health
f622a280-ddb8-fc74-7d35-ca4396c80fc3,Bullinah Aboriginal Health Service,120 Tamar Street,BALLINA,NSW,2478,-28.868011474609375,153.55670166015625,aboriginal_health
25767ff9-ea97-fb8e-20f8-89b83ea777f5,Biripi Aboriginal Corporation Medical Centre - Bushland Clinic,39-41 Mudford Street,TAREE,NSW,2430,-31.895597457885742,152.46157836914062,aboriginal_health
a7018c2c-6b56-7c40-9b64-e93f8d648b9c,Gatton Hospital - Aboriginal And Torres Strait Islander Liaison,"Gatton Hospital,97-103 William Street",GATTON,QLD,4343,-27.56682777404785,152.27626037597656,aboriginal_health
f6aceb90-ca0a-dab7-763b-c37fd2b269f0,Laynhapuy Homelands Aboriginal Corporation,86 Galpu Road,YIRRKALA,NT,0880,-12.255049705505371,136.89125061035156,aboriginal_health
ea96fd3b-863e-9d00-160f-ffcf580ae6c5,Purple House Primary Health Care,17 STUART HIGHWAY,BRAITLING,NT,0870,-23.68606022,133.87361569,aboriginal_health
ad8bc235-a8ea-764f-cd21-c5c9c07f3f55,Kingaroy Hospital - Aboriginal Health Services,"Kingaroy Hospital,166 Youngman Street",KINGAROY,QLD,4610,-26.532617568969727,151.8378143310547,aboriginal_health
171877cc-2c09-ee1b-23e3-f9faa218764e,Wonggangga Turtpandi Aboriginal Primary Health Care,11 Church Street,PORT ADELAIDE,SA,5015,-34.846763610839844,138.50270080566406,aboriginal_health
9782ddf3-ffb5-7715-e7c2-0b9058c31420,Anyinginyi Health Aboriginal Corporation,74 SCHMIDT STREET,TENNANT CREEK,NT,0860,-19.642877,134.189487,aboriginal_health
42d9026d-a2fb-55df-4ed6-8dc895059f2f,Nunkuwarrin Yunti - Brady Street Clinic,28-30 Brady Street,ELIZABETH DOWNS,SA,5113,-34.69576644897461,138.6970672607422,aboriginal_health
9cfea629-e539-3ba6-fbf9-9becda290700,Wuchopperen Health Service - Edmonton Clinic,7 Stokes Street,EDMONTON,QLD,4869,-17.019567489624023,145.743896484375,aboriginal_health
6c459746-fce2-3626-7d7a-8f5a9e0dc12d,Mallee District Aboriginal Services - Mildura,120 Madden Avenue,MILDURA,VIC,3500,-34.189090728759766,142.16099548339844,aboriginal_health
d129e99c-4171-22b3-c6b9-38d51c1be177,Kambu Health - Ipswich,27 Roderick Street,IPSWICH,QLD,4305,-27.617525100708008,152.76116943359375,aboriginal_health
9e01c190-e385-97e4-cd3f-4d0faf621bcc,Bourke Aboriginal Corporation Health Service,61 Oxley Street,BOURKE,NSW,2840,-30.09005355834961,145.9404754638672,aboriginal_health
f6f4b881-0f2c-0003-adcf-248565f13ac8,Bulgarr Ngaru Medical Aboriginal Corporation - Richmond Valley,153 Canterbury Street,CASINO,NSW,2470,-28.863155364990234,153.04705810546875,aboriginal_health
